Analysis for tmp/report_2018-06-09.csv

Field:	citation authors
Count:	135308
Value	Number of PDB entries	Ratio in all PDB entries
15	4872	0.0338
22	4870	0.0338
10	4843	0.0336
21	4804	0.0334
11	4797	0.0333
09	4784	0.0332
08	4760	0.0330
16	4755	0.0330
03	4750	0.0330
17	4749	0.0330
27	4721	0.0328
12	4709	0.0327
06	4708	0.0327
19	4705	0.0327
18	4682	0.0325
13	4680	0.0325
23	4589	0.0319
24	4579	0.0318
26	4573	0.0318
29	4560	0.0317
30	4470	0.0310
25	4449	0.0309
02	4430	0.0308
05	4372	0.0304
04	4362	0.0303
01	4261	0.0296
31	2829	0.0196
